Feature,Importance
t2m_COL,0.05657813215798358
t2m_VEN,0.0547026046639731
t2m_IDN,0.054186089607118716
t2m_SEN,0.054107314959239844
t2m_BFA,0.053243997926922776
t2m_ECU,0.05042797076778665
t2m_GNB,0.04915886826247112
t2m_CPV,0.048960663866706305
t2m_KHM,0.04731799720905464
t2m_PAN,0.04695056378701901
t2m_KIR,0.0466817335138085
tp_RUS,0.046629721446668965
t2m_MWI,0.045726463011864546
t2m_GUY,0.04558685391835494
t2m_MDV,0.0451669825107963
t2m_ZMB,0.04506513067253466
t2m_CRI,0.04494771235409889
tp_MEX,0.04448883119716841
t2m_THA,0.04430870426836953
t2m_FSM,0.0439975260000207
t2m_SUR,0.04298350361267692
t2m_NGA,0.04213560676457246
tp_KIR,0.0417745048382849
t2m_ETH,0.04141360565763942
tp_ECU,0.04109521307585818
t2m_ZWE,0.04093028107486369
t2m_LKA,0.0407685708231052
t2m_SOM,0.040616247387946516
t2m_TCD,0.04031379827966546
t2m_TTO,0.040245241533952904
tp_CAN,0.04017054330083551
t2m_MYS,0.04001731082240724
t2m_SYC,0.039978530645262904
t2m_PHL,0.03931111865587422
tp_GRL,0.039203566695589435
t2m_GIN,0.03917975081497503
t2m_SDN,0.039123035633633986
t2m_SLV,0.038908500828670214
t2m_TZA,0.03878913800312712
t2m_BEN,0.03876523459101077
tp_SUR,0.0387515626851599
t2m_WSM,0.03860810761538046
t2m_PYF,0.03842568496857604
t2m_VCT,0.038032398779766295
t2m_GAB,0.03786532547535842
t2m_GNQ,0.03786267614880858
t2m_VUT,0.037765545689720556
t2m_BWA,0.03769553747009082
t2m_CMR,0.0376135027238777
t2m_AGO,0.037377099161743275
t2m_MMR,0.037293593051897396
tp_KAZ,0.03703914289022311
tp_SOM,0.036896535585386185
tp_AUS,0.036720921414781955
tp_CRI,0.03647846989173694
t2m_ERI,0.03632083432745176
t2m_TON,0.03601345096927149
t2m_PLW,0.035825613576750646
tp_ZWE,0.03546162534095246
t2m_MLI,0.03545176399672339
tp_PHL,0.03507713336750483
t2m_BOL,0.035066571498107026
t2m_NER,0.0350622834576096
t2m_STP,0.03498679402891965
t2m_BRN,0.034949200543535994
t2m_MHL,0.03494837629199698
t2m_MOZ,0.03486918535459579
tp_VEN,0.03452313607500661
t2m_SSD,0.03446255896009892
t2m_NIC,0.034450878353282845
tp_NER,0.03440510282909161
tp_PAN,0.03437264779344883
t2m_COG,0.034337884494938783
tp_NPL,0.0342766807638045
t2m_NAM,0.03409180683285209
t2m_LAO,0.03400933817524927
tp_ERI,0.03388978440080976
t2m_LBR,0.033802442611129045
tp_CUB,0.03364555114669628
tp_MYS,0.033583821960551936
t2m_TUV,0.033336501846472515
t2m_GHA,0.03326641951183154
t2m_SLB,0.03317128988367588
t2m_TGO,0.03313828770327206
t2m_CIV,0.03306046069276086
t2m_MDG,0.03300427441540948
t2m_CAF,0.032954561933213354
tp_BRA,0.0329465086224079
t2m_SLE,0.0328907309672581
tp_ISL,0.03279424197329098
t2m_PNG,0.03276376923164911
t2m_BGD,0.03258678241571797
tp_MHL,0.03256332069788365
tp_MDG,0.032451159045708465
tp_KEN,0.032405377753515555
tp_TCD,0.03223032437557989
tp_GUY,0.032227044182942505
tp_GNB,0.03219169342678474
tp_COG,0.032157273395350905
tp_MLI,0.0320302689262528
t2m_PRY,0.03199452927315643
t2m_GTM,0.03189192773183601
t2m_HND,0.031880919546892594
tp_PNG,0.03130466550793825
tp_GNQ,0.03116165902523619
tp_MWI,0.031076612177135112
tp_GAB,0.031053163411651232
tp_PER,0.030760677373705827
tp_BFA,0.03050682047316459
tp_BRN,0.030390117954592066
t2m_LCA,0.03031426777066094
tp_MOZ,0.03026278595920527
tp_MNG,0.030251886279834734
tp_COD,0.03018233634513125
tp_ARM,0.030122761977060732
tp_BGR,0.030024976141802398
tp_FIN,0.029728075161741127
t2m_LSO,0.029719342683960124
tp_LBN,0.029674312577480124
tp_COL,0.02960173290688209
tp_PYF,0.0295959278939093
tp_NAM,0.02954544246702101
t2m_COM,0.029527685168426878
tp_GBR,0.029234131513303792
t2m_VNM,0.02920873372604884
tp_GIN,0.029154542447172974
tp_LBY,0.029123503842157956
t2m_PER,0.029119970882964762
t2m_TLS,0.029102673338872845
tp_BTN,0.028933304507471762
tp_TKM,0.028912527702395267
tp_CMR,0.028860663019032496
tp_LSO,0.028777461275122786
t2m_ATF,0.028743943842138443
tp_GEO,0.02866979117946662
tp_SEN,0.028637832588241652
tp_AFG,0.028394535877519854
t2m_COD,0.028383170487273752
tp_TUR,0.028361777200824233
tp_TJK,0.02827266662938156
t2m_IND,0.028251083860113383
