Feature,Importance
tp_NER,0.04548976456684898
tp_LBN,0.04417529124133203
t2m_KHM,0.04143070921132664
tp_MLI,0.0400510429447323
tp_PHL,0.03983647476652882
tp_BFA,0.03937577899912992
tp_YEM,0.03933799880820775
tp_MEX,0.03910381622523538
t2m_SEN,0.0381258448421372
tp_SEN,0.03809040896197279
tp_KAZ,0.03800911096681694
tp_GNB,0.0378745396105354
t2m_THA,0.037823442208057584
tp_CRI,0.03718529691762935
tp_KWT,0.03713990994253879
tp_FIN,0.03689953930174102
tp_GRL,0.036551596781656766
tp_IRQ,0.03646519604338509
tp_TKM,0.03644874796600169
tp_SWE,0.03634549320788599
tp_DNK,0.035561363931416894
tp_KIR,0.035498760237776865
tp_EST,0.03546661348566674
t2m_BRN,0.03540784209279534
tp_MYS,0.035251458851775073
tp_PAN,0.034951666926546714
tp_VEN,0.034870688334677186
tp_LSO,0.03472491796033448
tp_LBR,0.03468179382983987
tp_ERI,0.03467049928207999
tp_TCD,0.034573766680493626
tp_UGA,0.03456168366768335
tp_LBY,0.034410429212566776
tp_IRN,0.03438660367466386
tp_BRN,0.0343721259461289
tp_SUR,0.033997851819549285
tp_SOM,0.033909244794195756
t2m_KIR,0.03359433187112196
tp_BGR,0.03352442787236508
tp_GBR,0.03343678647954804
tp_ISL,0.033178706467919046
t2m_GNB,0.032945403257824614
tp_COL,0.03288855918921657
tp_GRC,0.03283378192850185
t2m_WSM,0.032822890540450546
affected_SYR,0.03271843637148921
tp_ZWE,0.03244691402755942
t2m_BFA,0.03240931001138912
tp_TTO,0.03233692779980605
deaths_NGA,0.03220520370811635
tp_GUY,0.03217974533167012
tp_EGY,0.03205326190390366
t2m_SWZ,0.031898359636680716
tp_SRB,0.031696392477378627
tp_SVN,0.03161729609429988
deaths_ECU,0.03159801489931234
tp_BOL,0.0315951098851052
tp_LUX,0.03159144758719998
tp_DJI,0.03158964765660742
tp_BEN,0.03146755828722192
damage_DEU,0.03127939118079023
tp_NIC,0.031257175012995596
tp_BIH,0.031178129074943974
tp_TUR,0.031110757054658947
tp_POL,0.031042726851352224
tp_IDN,0.0309447543790938
t2m_ECU,0.030909938691665147
t2m_FSM,0.03079340070570464
tp_NLD,0.03079325591828103
t2m_IDN,0.030765502004123733
damage_BOL,0.030752308965027238
tp_KEN,0.030748490000231936
t2m_ETH,0.030700130330812488
tp_SSD,0.030687532745718272
tp_MRT,0.03065342422172613
tp_CUB,0.030596779876669745
tp_SWZ,0.03059367353913475
tp_LCA,0.03048370135551283
t2m_LAO,0.03047494336164088
tp_DOM,0.03045605760967846
tp_SAU,0.030424179142978642
tp_ATF,0.03032846182408717
tp_ECU,0.030297801301216277
damage_SPI,0.030231581159805544
t2m_MDV,0.030187051611358956
tp_BLR,0.030055060271639875
tp_HTI,0.029908388331760734
tp_CAN,0.02977354019160238
deaths_URY,0.029767163535038128
tp_CIV,0.029721429311018677
tp_PSE,0.02971264454237117
tp_RUS,0.029678091549135706
tp_TGO,0.029657521283666825
affected_PAN,0.02963638644638271
tp_MKD,0.029536784566923328
affected_SWZ,0.029469408738699826
t2m_LKA,0.029442995144213224
t2m_MHL,0.029423164902988814
tp_NZL,0.029408590810241605
tp_CAF,0.029253649761336997
tp_SYR,0.0292273399962159
tp_SDN,0.02922613796220815
tp_ALB,0.02916354297913379
tp_PRI,0.029100615042103626
t2m_SLB,0.02909558425018985
affected_LSO,0.02909503861676721
tp_GHA,0.029055660914905947
deaths_SCG,0.029045625475781874
tp_HND,0.02904505724030986
