Feature,Importance
tp_MHL,0.036150628176696904
tp_GRL,0.035352586307888303
deaths_KEN,0.03515250404263232
tp_KAZ,0.03514224205048994
tp_COM,0.03512491477177433
tp_KWT,0.03510305723386381
tp_CYP,0.03488325263384827
tp_FLK,0.034878609119985145
deaths_URY,0.03482923399403276
tp_MEX,0.03479858574177468
damage_ROU,0.03460491586592231
affected_ARE,0.03455755945538382
tp_CUB,0.03439450572098518
tp_HTI,0.03436165332263402
tp_BTN,0.034347005106665454
affected_ALB,0.03421128618359643
tp_ISL,0.03409304154220065
tp_LKA,0.033885610914524786
deaths_ARG,0.0336796237748603
deaths_MNG,0.03367504605200552
tp_ECU,0.03366520260731029
tp_PYF,0.033616349175929656
tp_DJI,0.033520701825354875
tp_LCA,0.03351815397980724
tp_BGD,0.03323955874614202
tp_BHS,0.03309545560194294
tp_GNB,0.032960887425339404
affected_ROU,0.032891529868150304
deaths_CMR,0.03281869267095041
affected_SLE,0.032815271215891
tp_DOM,0.032720423292885006
tp_TON,0.032714312770173774
damage_CHE,0.03266008925660346
affected_URY,0.03258580262445727
deaths_MDA,0.03255913051420805
affected_CYP,0.03245874266364863
affected_HUN,0.032317737648448926
tp_LBN,0.03221611780366293
tp_PAN,0.032179186045410264
tp_QAT,0.03217795426897034
tp_SOM,0.03207881378374246
tp_PRI,0.03202149540692069
affected_MNE,0.031950883954371574
tp_GRC,0.031943308454032704
tp_PNG,0.03190790599939959
deaths_IDN,0.03189563675291177
tp_FSM,0.031871560993739716
tp_AUS,0.0318086894077268
damage_AZE,0.03175299661362071
damage_UKR,0.031669647720585864
tp_LBY,0.03152500489143604
damage_MEX,0.03152027394297025
tp_BDI,0.03143560976180127
deaths_CUB,0.031424829130605944
tp_DNK,0.031388138203982875
t2m_MHL,0.0312205783606454
damage_VNM,0.031211495145193096
tp_CAN,0.03115646829802828
deaths_IRQ,0.031077560308450998
tp_CRI,0.03100485332842591
deaths_PRY,0.03094947131066572
damage_HUN,0.030810854981431834
deaths_UKR,0.030805178211339195
tp_BLZ,0.03071876759501545
affected_AZE,0.030696688295293015
tp_GEO,0.030576192598988493
damage_MDA,0.030562016427723784
deaths_DJI,0.03051448958725007
deaths_UZB,0.030500949630256652
damage_GLP,0.03049990939422651
tp_MDV,0.030467241151599846
tp_SVN,0.03045946218061814
tp_UKR,0.030406911266562402
tp_PLW,0.030296128019681245
affected_CRI,0.03027002851437214
damage_ETH,0.030229772924236543
tp_TTO,0.030226888110311944
affected_UGA,0.03012356338697589
deaths_MEX,0.030120012406261665
tp_GNQ,0.030116421684380352
damage_PER,0.029985316287046385
tp_RWA,0.029926404378396967
affected_LSO,0.02991596849048199
tp_MDA,0.02990725611652926
damage_IRQ,0.02990617290425758
tp_CHL,0.029834880430164874
tp_BRN,0.029789770021620986
tp_LBR,0.029760455243707445
tp_SLB,0.029720808354432266
damage_BOL,0.029713062441746093
damage_IDN,0.029702206556179996
damage_YEM,0.029694501555440872
affected_SCG,0.029685152574193886
tp_IRL,0.029666386351093966
tp_VUT,0.02953389175040712
t2m_FSM,0.02949616539720613
deaths_HKG,0.0294580155695138
affected_PRK,0.029451386188015793
deaths_MAR,0.029439184279101135
tp_YEM,0.0294125063288518
damage_FSM,0.029410065292694246
tp_POL,0.029401306774273796
