Target,MAE,RMSE,DA,HitRate,Sharpe
RV_Financials,0.0032383159290908696,0.004566221500735283,0.7214285714285714,0.8571428571428571,1.7470028410953893
RV_Consumer_Staples,0.0019208212826617261,0.00277601059587723,0.7178571428571429,0.8461538461538461,1.5804582673275613
RV_Technology,0.0039879369800847764,0.005715713516893164,0.7178571428571429,0.8333333333333334,1.5303998726542318
RV_Industrials,0.0027940095035146367,0.004251437902329071,0.7142857142857143,0.8202247191011236,1.395112761695152
RV_SP500,0.0029155444730331807,0.0041624396351971705,0.7107142857142857,0.9125,1.6346673474836206
RV_Utilities,0.0027148165417416334,0.0036825961693724256,0.7035714285714286,0.8938053097345132,1.939900395878182
RV_Healthcare,0.002422788694870781,0.003222952781204877,0.6678571428571428,0.8494623655913979,1.6011161583335451
RV_Consumer_Discretionary,0.0038291393502518194,0.005348762293092271,0.6678571428571428,0.7875,1.2036550969031827
RV_Energy,0.00457959780060716,0.006821159335982814,0.6642857142857143,0.7738095238095238,1.188107089030006
RV_Materials,0.00323689247226276,0.004371436484356569,0.6571428571428571,0.8947368421052632,1.5020397485418209
